k,trial,seed,n,d,family_x,family_y,q_strict,bic,num_params,auc_y,ap_y,rmse_x,w0,w,success,error_message,note
1,0,1100,178,13,gaussian,bernoulli,-6642.804122755112,13420.334617817818,26,0.9381587016899865,0.9172628287264118,0.9021655961998166,-1.4715173474724053,4.2615284806892415,True,,wine_fixed_pilot BIC
1,1,1110,178,13,gaussian,bernoulli,-6635.547429985711,13405.821232279015,26,0.9398783905971033,0.9186936463014291,0.90385699531106,-1.4752909026770122,4.253958011384511,True,,wine_fixed_pilot BIC
1,2,1120,178,13,gaussian,bernoulli,-6647.750985856912,13430.228344021418,26,0.9380307570081949,0.9171796057253447,0.9020420492490918,-1.46624296579724,4.260924172362854,True,,wine_fixed_pilot BIC
1,3,1130,178,13,gaussian,bernoulli,-6624.499092478567,13383.724557264728,26,0.938387251522747,0.9174091027013034,0.9045741602445587,-1.4873426511380985,4.259214732280582,True,,wine_fixed_pilot BIC
1,4,1140,178,13,gaussian,bernoulli,-6639.473596588604,13413.673565484802,26,0.9402706354204046,0.9189789394800366,0.902081051200223,-1.4668127951548775,4.254922067271649,True,,wine_fixed_pilot BIC
2,0,1200,178,13,gaussian,bernoulli,-3120.022958779345,6436.9536924697895,38,1.0,1.0,0.7193345811646775,-1.9676420069443776,4.204910167415936,True,,wine_fixed_pilot BIC
2,1,1210,178,13,gaussian,bernoulli,-3123.235137575787,6443.3780500626735,38,1.0,1.0,0.7208234007436514,-1.9437117234685473,4.209421691030089,True,,wine_fixed_pilot BIC
2,2,1220,178,13,gaussian,bernoulli,-3117.294236150837,6431.496247212774,38,1.0,1.0,0.7208626585962934,-1.9432978594685693,4.2050292511948415,True,,wine_fixed_pilot BIC
2,3,1230,178,13,gaussian,bernoulli,-3102.2082247005374,6401.324224312174,38,1.0,1.0,0.7216906157402332,-2.013479065800877,4.207850536453507,True,,wine_fixed_pilot BIC
2,4,1240,178,13,gaussian,bernoulli,-3102.999861190802,6402.907497292704,38,1.0,1.0,0.7199351899209009,-1.9363410845598703,4.208057888501288,True,,wine_fixed_pilot BIC
3,0,1300,178,13,gaussian,bernoulli,-3024.2325744013224,6302.372542766957,49,0.9999998919386134,0.999999788362023,0.6743841107192721,-2.3306893440364096,4.115155001588721,True,,wine_fixed_pilot BIC
3,1,1310,178,13,gaussian,bernoulli,-3064.306488423231,6382.520370810774,49,0.999996974281174,0.9999940649291311,0.6767929789704278,-2.268250225864545,4.111948826696683,True,,wine_fixed_pilot BIC
3,2,1320,178,13,gaussian,bernoulli,-3043.6318863144015,6341.171166593115,49,0.9999971363732538,0.9999943337232976,0.6728881975398195,-2.326257692450743,4.115395265662316,True,,wine_fixed_pilot BIC
3,3,1330,178,13,gaussian,bernoulli,-3014.235910686469,6282.379215337251,49,1.0,1.0,0.6721646886853039,-2.3697457633517267,4.115152150528844,True,,wine_fixed_pilot BIC
3,4,1340,178,13,gaussian,bernoulli,-3030.7552699271555,6315.417933818623,49,0.9999998559181511,0.9999997178623843,0.6744309947040846,-2.3228410175710814,4.120022326683536,True,,wine_fixed_pilot BIC
4,0,1400,178,13,gaussian,bernoulli,-3174.243909413366,6654.213048293965,59,0.9999505439053773,0.9998937468437241,0.6463402078906821,-2.838077345944002,4.035815402671959,True,,wine_fixed_pilot BIC
4,1,1410,178,13,gaussian,bernoulli,-3196.5374404846602,6698.800110436554,59,0.9999921115187748,0.9999845137334382,0.653646957723288,-2.856063600389366,4.037692639740326,True,,wine_fixed_pilot BIC
4,2,1420,178,13,gaussian,bernoulli,-3255.3095168885347,6816.344263244302,59,0.9999654203562727,0.9999314670334083,0.6564847298752982,-2.870526602111345,4.024782095123727,True,,wine_fixed_pilot BIC
4,3,1430,178,13,gaussian,bernoulli,-3170.6924668512975,6647.1101631698275,59,0.9999767127711773,0.999954173776028,0.6346283875415353,-2.799495266806595,4.031678341348221,True,,wine_fixed_pilot BIC
4,4,1440,178,13,gaussian,bernoulli,-3166.581255657983,6638.887740783199,59,0.9999883473804732,0.999977059308508,0.630250419495884,-2.6981687892911657,4.039573800861684,True,,wine_fixed_pilot BIC
5,0,1500,178,13,gaussian,bernoulli,-3327.3042487196553,7006.969778859172,68,0.9999658526018191,0.9999317413177525,0.6026874078780284,-3.249049578691685,3.9339104066889905,True,,wine_fixed_pilot BIC
5,1,1510,178,13,gaussian,bernoulli,-3243.176241146975,6838.713763713811,68,0.9999337043392914,0.9998640798596097,0.5794700421933965,-3.2597200789100573,3.949411203037884,True,,wine_fixed_pilot BIC
5,2,1520,178,13,gaussian,bernoulli,-3323.3512915146903,6999.063864449242,68,0.9997991859231459,0.9996446242147667,0.5954085465455873,-3.2830995666402267,3.935752453571563,True,,wine_fixed_pilot BIC
5,3,1530,178,13,gaussian,bernoulli,-3321.3659468356113,6995.093175091084,68,0.9999141272180769,0.9998338473567807,0.5837302502517321,-3.287119374824407,3.929557067097514,True,,wine_fixed_pilot BIC
5,4,1540,178,13,gaussian,bernoulli,-3306.6451162535386,6965.651513926939,68,0.9999270765742437,0.9998748580560683,0.5877991185147113,-3.1802761141524143,3.931258618745676,True,,wine_fixed_pilot BIC
6,0,1600,178,13,gaussian,bernoulli,-3655.01682937793,7703.849208578059,76,0.9992633635374514,0.9987501840308284,0.578165261265472,-3.5428033779879273,3.735156793486861,True,,wine_fixed_pilot BIC
6,1,1610,178,13,gaussian,bernoulli,-3584.5823377255206,7562.98022527324,76,0.9998015272531897,0.9996024064745497,0.5698347679316398,-3.5904616082819976,3.659859869441612,True,,wine_fixed_pilot BIC
6,2,1620,178,13,gaussian,bernoulli,-3455.203313220769,7304.222176263736,76,0.9999324436231138,0.9998702420124749,0.5511087892305778,-3.481552556176641,3.8192065743088475,True,,wine_fixed_pilot BIC
6,3,1630,178,13,gaussian,bernoulli,-3580.6452015953473,7555.105953012893,76,0.9998632843356592,0.9997434592937516,0.5760987634106722,-3.59226139475462,3.7526463860311776,True,,wine_fixed_pilot BIC
6,4,1640,178,13,gaussian,bernoulli,-3494.731050815738,7383.2776514536745,76,0.9998505691124969,0.9997108541433155,0.5554704322461362,-3.5170378528662285,3.802763416680807,True,,wine_fixed_pilot BIC
7,0,1700,178,13,gaussian,bernoulli,-3889.9492170868607,8209.986468847965,83,0.9997808515078779,0.9995729978200227,0.5615667473027537,-3.758151026792337,3.420551910979264,True,,wine_fixed_pilot BIC
7,1,1710,178,13,gaussian,bernoulli,-3752.8443194988067,7935.776673671857,83,0.9998319825539934,0.9996674569197654,0.5460271303189422,-3.791528588871619,3.493799628267493,True,,wine_fixed_pilot BIC
7,2,1720,178,13,gaussian,bernoulli,-3791.076983079261,8012.242000832765,83,0.999865607655472,0.9997372171738164,0.5460980583777164,-3.758353271169447,3.5168101432598,True,,wine_fixed_pilot BIC
7,3,1730,178,13,gaussian,bernoulli,-3875.106607775792,8180.301250225827,83,0.9995882681066398,0.9991066770525171,0.5672090740546751,-3.7793232947516837,3.3893390700341763,True,,wine_fixed_pilot BIC
7,4,1740,178,13,gaussian,bernoulli,-3874.0767834109843,8178.241601496212,83,0.9995423960480079,0.9991275051499973,0.5712738647662904,-3.763677130661805,3.3713917948655383,True,,wine_fixed_pilot BIC
8,0,1800,178,13,gaussian,bernoulli,-4181.408421273445,8823.995578522885,89,0.9994079316625554,0.9988204600719,0.5628201733344653,-3.9195201331129463,2.9745074952921904,True,,wine_fixed_pilot BIC
8,1,1810,178,13,gaussian,bernoulli,-4148.897171704339,8758.973079384672,89,0.9991251890443908,0.9985202961711022,0.5452937470716414,-3.8578871831985277,3.0378508246903935,True,,wine_fixed_pilot BIC
8,2,1820,178,13,gaussian,bernoulli,-4098.98915443232,8659.157044840635,89,0.9993584935781639,0.9988035358332332,0.5432202089715472,-3.916154654117809,3.0670642008492646,True,,wine_fixed_pilot BIC
8,3,1830,178,13,gaussian,bernoulli,-4109.634439911244,8680.447615798483,89,0.9996558965244504,0.9993209114805445,0.5359677351830534,-3.882753166232628,3.103759648915194,True,,wine_fixed_pilot BIC
8,4,1840,178,13,gaussian,bernoulli,-4188.445016712254,8838.068769400503,89,0.999286794848123,0.9986638902469682,0.542394196573125,-3.8372670043829418,3.087071328273158,True,,wine_fixed_pilot BIC
9,0,1900,178,13,gaussian,bernoulli,-4517.623603323458,9522.334860374373,94,0.9995669259827769,0.9991586332278917,0.5609702309109559,-3.8729092300162735,2.734004236211271,True,,wine_fixed_pilot BIC
9,1,1910,178,13,gaussian,bernoulli,-4547.332775337385,9581.753204402226,94,0.999254448473053,0.9985397914974186,0.554582955383807,-3.9152591705371766,2.736411494368309,True,,wine_fixed_pilot BIC
9,2,1920,178,13,gaussian,bernoulli,-4479.6618766259835,9446.411406979423,94,0.9988865895026718,0.9977232469986343,0.5371791896798432,-3.9314374547548816,2.736286572703264,True,,wine_fixed_pilot BIC
9,3,1930,178,13,gaussian,bernoulli,-4424.15157237329,9335.390798474036,94,0.9992445428459436,0.9986345351678559,0.5386677828108994,-3.9504092112424947,2.7758366242956987,True,,wine_fixed_pilot BIC
9,4,1940,178,13,gaussian,bernoulli,-4403.304431290584,9293.696516308624,94,0.999246289838361,0.9984013630465002,0.5164670491144516,-3.934239341100559,2.8323072584421176,True,,wine_fixed_pilot BIC
